trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-231.73224313775106,"{0: 21, 1: 2, 2: 8, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-45.281665560073456,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-56.61686667911212,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-131.70257329183886,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-64.6078000758738,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-132.86275207528138,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,3,-71.39724420384651,"{0: 22, 1: 0, 2: 2, 3: 2, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-7.485264930240929,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-84.5889198075264,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,1,-134.50943770635163,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,2,-40.93523456339876,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-129.51832402483134,"{0: 28, 1: 1, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,15,-21.816645903475372,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,17,-5.73986455371356,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-4.6153467457114665,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,4.570646349864033,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,10,9.850045862591761,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,2,26.537308945195733,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,18,1.9986362900986803,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,23,13.363187845930339,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,13,29.314563051432884,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,7,-65.70321964010435,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",20,0,16.97392024973112,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-15.217332247483721,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,3,28.20351040098222,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,5,23.952484059273022,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,18,5.749355769168413,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,26.565719610926386,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,19,16.622306035630036,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,25.001351256357033,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
