trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950124791926823}",25,0,-106.16905992971778,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-117.49704415676607,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9851119396030626}",30,0,-158.19627706236037,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,11,-28.41972781969031,"{0: 4, 1: 3, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9753099120283326}",25,0,-150.1850627572286,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-62.52311707435504,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9656054162575665}",30,0,-184.48657980055222,"{0: 19, 1: 4, 2: 3, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-74.02775160360599,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-164.74539089840553,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-186.66744599516844,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9464851479534838}",20,0,-80.008351689861,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-97.90379983151621,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9370674633774034}",25,0,-50.95505402405622,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-68.59400306535068,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9277434863285529}",20,0,-63.36748043956775,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-154.1212298836849,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9185122844014574}",20,0,-44.58386816976867,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-129.78579199102506,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9093729344682314}",30,0,-171.33333295223406,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,8,-65.5013278376116,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.9003245225862656}",30,0,-73.85370410628418,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
