trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-191.66469609669494,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-144.07977634218005,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,6,-55.25856310586901,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-219.83276845626804,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-88.657149478974,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-105.60591359088163,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-47.72510481438029,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-134.1663931952658,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-146.06506013404456,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-69.74846828087425,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-164.03463644688475,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-46.90251459490589,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-146.61663622108918,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-132.191425352524,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-106.85686958785526,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-116.39839328806714,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-122.7398924815408,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-100.03133680269119,"{0: 24, 1: 3, 2: 5, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-253.29962884148912,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 5}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-100.3675431858525,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-83.49297129450275,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-87.80054813676922,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-76.82292391674429,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-140.9945729777125,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-99.66076819913295,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-80.02659819422189,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-157.83404497585067,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-196.55372446236126,"{0: 8, 1: 1, 2: 6, 3: 3, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-107.15066663386924,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-88.17051878742693,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
